id,label
0,Normal
1,Normal
2,Normal
3,Normal
4,Normal
5,Normal
6,Normal
8,Normal
11,Normal
12,Normal
14,Anomalous
15,Normal
16,Normal
17,Normal
23,Normal
24,Normal
26,Normal
27,Normal
31,Normal
32,Normal
33,Normal
38,Normal
39,Anomalous
41,Normal
43,Normal
45,Anomalous
46,Normal
48,Anomalous
49,Anomalous
51,Normal
52,Normal
53,Normal
54,Normal
55,Normal
56,Anomalous
57,Normal
59,Normal
60,Normal
61,Normal
62,Anomalous
63,Normal
64,Normal
65,Normal
66,Normal
68,Normal
70,Normal
71,Anomalous
74,Normal
77,Anomalous
78,Normal
79,Normal
82,Normal
83,Normal
84,Normal
87,Normal
88,Normal
89,Normal
91,Anomalous
94,Anomalous
95,Normal
96,Normal
97,Normal
98,Anomalous
99,Normal
100,Normal
103,Normal
104,Normal
105,Normal
106,Normal
107,Normal
108,Anomalous
109,Anomalous
110,Normal
111,Normal
112,Normal
113,Anomalous
114,Normal
115,Normal
116,Normal
118,Anomalous
123,Anomalous
127,Normal
129,Normal
130,Anomalous
131,Normal
133,Anomalous
134,Normal
136,Normal
137,Anomalous
138,Anomalous
140,Normal
142,Normal
143,Normal
146,Anomalous
147,Normal
148,Normal
150,Anomalous
151,Normal
153,Normal
154,Normal
155,Normal
157,Anomalous
159,Normal
163,Anomalous
164,Anomalous
165,Normal
166,Normal
167,Normal
168,Normal
171,Normal
172,Normal
173,Anomalous
174,Normal
175,Normal
176,Normal
177,Normal
178,Normal
179,Anomalous
180,Normal
181,Normal
182,Normal
183,Normal
184,Normal
186,Normal
187,Normal
188,Normal
189,Normal
190,Normal
191,Normal
193,Normal
194,Normal
195,Normal
196,Normal
198,Normal
200,Normal
201,Normal
205,Normal
207,Normal
209,Normal
210,Normal
211,Normal
212,Normal
215,Anomalous
217,Anomalous
218,Normal
219,Normal
221,Normal
222,Normal
223,Normal
224,Normal
225,Normal
226,Normal
227,Normal
228,Normal
229,Normal
231,Normal
233,Normal
234,Normal
235,Normal
238,Normal
239,Anomalous
240,Normal
241,Normal
243,Normal
244,Normal
245,Normal
247,Normal
248,Anomalous
249,Normal
250,Normal
251,Normal
252,Normal
254,Anomalous
259,Normal
260,Normal
261,Anomalous
262,Normal
264,Anomalous
265,Normal
266,Normal
268,Normal
269,Normal
270,Normal
272,Anomalous
273,Normal
275,Normal
276,Normal
277,Normal
278,Normal
279,Normal
280,Normal
283,Anomalous
285,Normal
286,Anomalous
287,Normal
290,Normal
291,Normal
292,Normal
293,Normal
298,Anomalous
299,Normal
300,Normal
301,Normal
302,Anomalous
305,Normal
307,Normal
308,Normal
309,Anomalous
310,Anomalous
313,Normal
314,Normal
317,Normal
319,Anomalous
320,Normal
321,Normal
322,Anomalous
323,Normal
324,Normal
325,Anomalous
326,Normal
327,Normal
328,Normal
329,Normal
330,Normal
331,Normal
332,Normal
333,Normal
336,Normal
337,Normal
338,Normal
339,Normal
342,Normal
343,Normal
344,Normal
345,Anomalous
346,Normal
349,Normal
350,Normal
353,Anomalous
357,Normal
358,Normal
359,Normal
360,Normal
361,Anomalous
362,Normal
363,Normal
365,Normal
369,Normal
370,Normal
372,Normal
373,Anomalous
374,Normal
375,Normal
376,Normal
378,Normal
379,Normal
380,Normal
382,Normal
383,Normal
385,Normal
386,Normal
387,Anomalous
388,Normal
389,Normal
390,Normal
393,Normal
394,Normal
397,Normal
398,Anomalous
399,Normal
404,Anomalous
408,Normal
409,Anomalous
410,Normal
412,Normal
413,Normal
414,Normal
415,Normal
416,Normal
417,Anomalous
418,Normal
419,Normal
420,Normal
423,Normal
425,Normal
427,Normal
428,Anomalous
429,Anomalous
430,Normal
431,Normal
432,Normal
433,Normal
435,Normal
436,Normal
437,Normal
438,Normal
440,Normal
442,Normal
444,Anomalous
445,Normal
